ЦУР,2016,2017,2018,2019,2020,2021,2022,Model,2023_forecast,2024_forecast,mape
Т 12.2.1 (экотроп и маршрутов),3.0,3.0,3.0,3.0,3.0,3.0,3.0,arch,3.0,3.0,0.0
Т 12.2.6 (Виды экотроп и маршрутов  в государственных природных заповедниках -  пешие),3.0,3.0,3.0,3.0,3.0,3.0,3.0,arch,3.0,3.0,0.0
Т 12.2.10 (Количество посетителей объектов),256.0,256.0,256.0,1240.0,560.0,2938.0,2938.0,arch,1206.281756098799,1206.281756098799,1.9280317972364656
13.1.1 пострадавшие,135.0,648.0,50.0,61.0,281.0,235.0,235.0,exp,234.10556616214734,234.10556616214734,1.1524485922173309
13.1.1 погибшие,77.0,12.0,21.0,20.0,15.0,30.0,30.0,arch,21.25716870291367,21.25716870291367,0.36720973758382824
Т 14.2 (тонн),20529.0,22126.0,23535.0,24396.0,24395.0,24537.0,24617.0,exp,24616.59644958245,24616.59644958245,0.0535869897774931
Т 14.3 (тонн),20385.0,19476.0,21655.0,14606.0,11429.0,10599.0,10599.0,exp,10599.02115152383,10599.02115152383,0.25616502064717656
Т 14.4 (тонн),14506.0,15703.0,17475.0,17451.0,20354.0,23891.0,21972.0,arch,18764.5714471452,18764.5714471452,0.15375008170434154
15.1.1 (%),2.4,2.4,2.4,2.4,2.4,2.4,2.4,exp,2.4,2.4,0.0
15.1.2 (%),2.3,2.3,2.3,2.3,2.3,2.3,2.3,arch,2.3,2.3,0.0
15.2.1 (%),37.7,37.7,37.7,102.9,256.4,578.0347,283.38,arch,184.2871516731169,184.2871516731169,1.9668301378172948
15.3.1 (га),0.0,380.26,91.31,3194.276,138.0392,157.044,201.0237,arima,0.0,0.0,0.8571428571428571
"15.7.1 (тыс, руб)",35561.4,38851.5,42346.0,45377.1,53892.4,54587.7,58702.7,arch,47045.542708992216,47045.542708992216,0.16362648761441687
15.9.1 (Ввод молодняков в категорию хозяйственно-ценных лесных насаждений),0.6,0.6,0.4,1.3,0.5,0.5,0.5,arch,0.6284510784515179,0.6284510784515179,0.2790353126440659
15.9.1 (Площадь лесовосстановления),1145.3,1200.0,1200.0,1861.0,1500.0,1600.0,1700.0,arima,1458.042857142857,1458.042857142857,0.1683839051389268
Т 15.2.1 ( Отношение площади лесовосстановления и лесоразведения к площади вырубленных и погибших лесных насаждений в %),37.7,37.7,37.7,102.9,256.4,578.0,578.0,arch,206.10854236437171,206.10854236437171,2.2695964170100273
Т 15.2.2 (Индекс физического объема природоохранных расходов),79.8,107.4,108.9,108.5,105.5,108.7,108.7,exp,108.7,108.7,0.05832446996365527
