ЦУР,2016,2017,2018,2019,2020,2021,2022,AgglomerativeClustering,KMeans
Т4.5.1,1264.0,1259.0,1249.0,1247.0,1247.0,1247.0,1247.0,4,0
Т4.5.2,407.0,417.9,425.5,433.4,433.4,433.4,433.4,0,4
Т4.5.3,51964.0,52657.0,53002.0,53155.0,53155.0,53155.0,53155.0,0,4
Т4.6.1,21752.0,22476.0,22379.0,22311.0,22311.0,22311.0,22311.0,0,4
Т4.6.2,72088.0,74047.0,76115.0,80214.0,80214.0,80214.0,80214.0,0,4
Т4.6.3,138584.0,134514.0,136425.0,133154.0,133154.0,133154.0,133154.0,4,0
Т4.7.1,7345.0,7567.0,6983.0,6652.0,6652.0,6652.0,6652.0,4,0
Т4.7.2,15040.0,16930.0,17117.0,17223.0,17223.0,17223.0,17223.0,0,4
Т4.7.3,39524.0,32096.0,31641.0,30497.0,30497.0,30497.0,30497.0,4,1
Т4.9.1,80.7,80.1,83.2,80.4,80.4,80.4,80.4,2,3
Т4.9.2,99.2,95.0,96.2,97.7,97.7,97.7,97.7,2,1
