ЦУР,2016,2017,2018,2019,2020,2021,2022,Model,2023_forecast,2024_forecast
4.2.1 (III группа здоровья),51585.0,50639.0,50478.0,48494.0,48494.0,48494.0,48494.0,exp,48494.000001240514,48494.000001240514
4.2.1 (IV группа здоровья),1789.0,2648.0,2657.0,2327.0,2327.0,2327.0,2327.0,exp,2327.0,2327.0
4.2.1 (V группа здоровья),7027.0,7373.0,7576.0,7804.0,7804.0,7804.0,7804.0,exp,7803.99999985686,7803.99999985686
4.3.1,23585.0,31949.0,38350.0,50535.0,50535.0,50535.0,50535.0,arch,42289.14291107835,42289.14291107835
4.4.1.a,80.7,80.1,83.2,80.4,80.4,80.4,80.4,arch,80.75829519472694,80.75829519472694
4.4.1.b,99.2,95.0,96.2,97.7,97.7,97.7,97.7,arch,97.69999821078537,97.69999821078537
Т4.3.3,12139.0,12232.0,12281.0,12307.0,12307.0,12307.0,12307.0,exp,12307.0,12307.0
Т4.5.1,1264.0,1259.0,1249.0,1247.0,1247.0,1247.0,1247.0,exp,1247.0,1247.0
Т4.5.2,407.0,417.9,425.5,433.4,433.4,433.4,433.4,exp,433.4,433.4
Т4.5.3,51964.0,52657.0,53002.0,53155.0,53155.0,53155.0,53155.0,exp,53154.99999990329,53154.99999990329
Т4.6.1,21752.0,22476.0,22379.0,22311.0,22311.0,22311.0,22311.0,arch,22306.663672214418,22306.663672214418
Т4.6.2,72088.0,74047.0,76115.0,80214.0,80214.0,80214.0,80214.0,exp,80213.99999743163,80213.99999743163
Т4.6.3,138584.0,134514.0,136425.0,133154.0,133154.0,133154.0,133154.0,exp,133160.27334746975,133160.27334746975
Т4.7.1,7345.0,7567.0,6983.0,6652.0,6652.0,6652.0,6652.0,exp,6652.000000208696,6652.000000208696
Т4.7.2,15040.0,16930.0,17117.0,17223.0,17223.0,17223.0,17223.0,exp,17222.999999933134,17222.999999933134
Т4.7.3,39524.0,32096.0,31641.0,30497.0,30497.0,30497.0,30497.0,exp,30497.0,30497.0
Т4.9.1,80.7,80.1,83.2,80.4,80.4,80.4,80.4,arch,80.75829519472694,80.75829519472694
Т4.9.2,99.2,95.0,96.2,97.7,97.7,97.7,97.7,arch,97.69999821078537,97.69999821078537
