ЦУР,1.3.1,1.4.1,1.4.2,1.а.2 Социальная политика,1.b.1,Т.1.3.1,Т.1.4.1,Т.1.4.2,Т.1.5 Все население,Т.1.5 Трудоспособное население,Т.1.5 Пенсионеры,Т.1.5 Дети,11.1.1,11.2.1 (%),11.7.1 (%),11.7.1 (шт),11.а.1,11.с.1,3.4.1b,Т3.2.2,Т3.3.1,Т3.5.1,Т3.7.2,Т3.8.2,Т3.9.2,Т3.10.1,Т3.10.2,4.2.1 (I группа здоровья),4.2.1 (II группа здоровья),4.2.1 (IV группа здоровья),4.2.1 (V группа здоровья),4.3.1,Т4.3.3,Т4.5.2,Т4.5.3,Т4.6.1,Т4.6.2,Т4.7.2
Т3.8.2,0.9206168791209263,0.865827483677749,0.6917746275052116,0.6311697303304494,0.8844391751815199,0.5961177578292289,0.9275147949811279,0.8764859972393577,0.9010569659849613,0.8911401332201316,0.9247498378059014,0.9220936441865063,0.7714016541998499,0.9233125706260225,0.8129106655658641,0.9815008867400832,0.865827483677749,0.9783797111039961,0.992709707811304,0.8064082674300139,0.9650169285550345,0.9650169285550345,0.9868777519774271,1.0,0.8982455073297043,0.980808429062678,0.8928920357548642,0.6093582459826395,0.6309676787782531,0.41567583002621694,0.7219828651704481,0.7515530201056373,0.6881178853499579,0.7252536324217881,0.6800128631234471,0.5175785287389875,0.7597307592358534,0.6231617460036987
Т3.9.2,0.9149544670815937,0.8582107382344569,0.7479083588651974,0.4813678519180417,0.7847018902435161,0.5844756994742687,0.8843650736235242,0.8986699515776971,0.855458454294354,0.8479285140465452,0.8790274148712266,0.8638349689254642,0.6519442739648236,0.8765351351077445,0.7573757742147216,0.8700998319642254,0.8582107382344569,0.9218839814107406,0.8866526662257985,0.7753146710853109,0.7699324067545562,0.7699324067545562,0.8390142744063922,0.8982455073297043,1.0,0.8697212261303213,0.9518389977113091,0.701972464680099,0.578075757776446,0.3166969682177268,0.7073235306709811,0.7542750351590497,0.6578409438474234,0.7129376896056724,0.6462526296431932,0.43516047632365723,0.7688953818937018,0.5665966274176881
Т3.10.1,0.8699066166489705,0.7782472488277777,0.5996218738583521,0.5587484071095027,0.8409144437239243,0.5251335308997015,0.8657240232992058,0.848751526376575,0.8506349667928752,0.8435643944165174,0.8821191246844591,0.8697327535795818,0.7381129868897193,0.8430271670657253,0.7839912082216175,0.9523327168675269,0.7782472488277777,0.945723515632159,0.9729546180265994,0.6871042906643308,0.9377482110564641,0.9377482110564641,0.9824363846550932,0.980808429062678,0.8697212261303213,1.0,0.8745807207392307,0.5947504663428964,0.5302704220067189,0.35142676976071996,0.6220950956087021,0.6562530381142238,0.5866719833872472,0.6262014832225818,0.5784253398293153,0.43189937769861586,0.6670846709277761,0.5222317565699187
Т3.10.2,0.9305818476751141,0.847643076825074,0.7766895167231904,0.5531752816594174,0.8251849310719788,0.7117905404979116,0.8936847758397661,0.9774745127638474,0.8372780660414364,0.8335552640138391,0.8775867452939092,0.8427740680827807,0.5881362619653491,0.8562919253070176,0.8008402373964695,0.8712557414748597,0.847643076825074,0.9355827731108937,0.8741263794900809,0.7561492181041368,0.7571034988804485,0.7571034988804485,0.8204989338789543,0.8928920357548642,0.9518389977113091,0.8745807207392307,1.0,0.5279434040331284,0.6121266361395984,0.4239813011412087,0.6899761539895525,0.7140142540806155,0.6623723845135818,0.69343636772366,0.6554824608861005,0.5049479610481473,0.7212117433184447,0.6013272667954713
4.2.1 (I группа здоровья),0.5339783109153683,0.5380396877372422,0.3690300918052627,0.3167057193437627,0.5015986106879815,0.25382792783047886,0.5350622429190613,0.47319677072496763,0.5909846268736475,0.5838610665399968,0.5826780724435187,0.5967002513792745,0.6343388095994433,0.5113441730229449,0.47480886226439156,0.5820988071543675,0.5380396877372422,0.5875359002343574,0.6133517862940681,0.4449959224566267,0.5568018658748108,0.5568018658748108,0.5940667978301061,0.6093582459826395,0.701972464680099,0.5947504663428964,0.5279434040331284,1.0,0.4120586073186092,0.25588521585552565,0.5291702516709923,0.5875696427355386,0.47133265025290016,0.5296737464171534,0.46038821862055995,0.3879379520264997,0.6022781633034828,0.4361308452311504
4.2.1 (II группа здоровья),0.7024548418226727,0.7827354190745863,0.7864249693324913,0.963909294296148,0.7056307337841368,0.89044166171173,0.7375229869960107,0.6587441087419571,0.6859356274588583,0.6782817302248215,0.6763729151331827,0.6952989734179685,0.7913547046784818,0.7782503889389502,0.6497924746260557,0.6618054943628623,0.7827354190745863,0.6659441672492643,0.6287053629304395,0.8683932880735191,0.664821215862251,0.664821215862251,0.5925885079991418,0.6309676787782531,0.578075757776446,0.5302704220067189,0.6121266361395984,0.4120586073186092,1.0,0.9157527833390724,0.9751385613166323,0.9499763662032525,0.9905430194873265,0.9721267967428604,0.9930584658696986,0.9610595461150987,0.9386790585778236,0.9978107642479506
4.2.1 (IV группа здоровья),0.47631291970738143,0.5402311281216562,0.5937749110197127,0.938709617771052,0.5511166641624595,0.8646297038761257,0.5101031865390276,0.5038798113187964,0.4648004268064083,0.4642951053742323,0.46284115552719324,0.46630761625257505,0.6558852569789841,0.5066004822600099,0.5155370904161007,0.4531343360228953,0.5402311281216562,0.45264698033493034,0.41171901222103613,0.6109877234432085,0.47227955209398403,0.47227955209398403,0.38797483772254115,0.41567583002621694,0.3166969682177268,0.35142676976071996,0.4239813011412087,0.25588521585552565,0.9157527833390724,1.0,0.8137941267717541,0.7632780963795134,0.8564117965016557,0.8065514339348684,0.8657625356890638,0.9804051797052672,0.7433818985215963,0.9267144848117543
4.2.1 (V группа здоровья),0.7821580974063495,0.8548214205276525,0.8258705861271538,0.9120572117640231,0.74568739613202,0.8387740510194639,0.8107668388691344,0.7076550293348255,0.7682105561179273,0.7581038913289185,0.7563061368139481,0.7800063676884469,0.8434974497081209,0.8658305186846095,0.6896675905178896,0.7421238775048402,0.8548214205276525,0.748043127728415,0.7212102709412042,0.9278437427059835,0.7351582549458368,0.7351582549458368,0.6852998362486268,0.7219828651704481,0.7073235306709811,0.6220950956087021,0.6899761539895525,0.5291702516709923,0.9751385613166323,0.8137941267717541,1.0,0.9953071817918479,0.995963655046853,0.9998620074208348,0.9939889242937825,0.8884967508044278,0.99135221352974,0.9672091638946998
4.3.1,0.8027440555879279,0.8692699616500986,0.8250980413512151,0.8772788995379391,0.752300311846539,0.8038109546615516,0.8276278213555264,0.7186253723587407,0.7918785456283459,0.781141845159057,0.779439077259586,0.8041817021530444,0.8590289153956551,0.884877484403768,0.6981364801130711,0.7660478617741521,0.8692699616500986,0.772497482537302,0.7514769972715846,0.9317580951828606,0.7550193236844683,0.7550193236844683,0.7168227250323576,0.7515530201056373,0.7542750351590497,0.6562530381142238,0.7140142540806155,0.5875696427355386,0.9499763662032525,0.7632780963795134,0.9953071817918479,1.0,0.9826920257805574,0.9962643261911274,0.9788467115384665,0.8489003173228915,0.9993569197715728,0.9408884185603217
Т4.3.3,0.7553721081944307,0.8316695630040634,0.8181072499566459,0.9381305592918027,0.7322265633613662,0.8651289576180503,0.7865588757489188,0.6915128601195047,0.7385783949052773,0.729317207169846,0.7274882991285956,0.7496083864278078,0.8245579266142607,0.8386305382742387,0.6761154330994773,0.7129502720202353,0.8316695630040634,0.7182227729102524,0.6867213435337022,0.9129739263092351,0.7099079437824626,0.7099079437824626,0.6507121043317499,0.6881178853499579,0.6578409438474234,0.5866719833872472,0.6623723845135818,0.47133265025290016,0.9905430194873265,0.8564117965016557,0.995963655046853,0.9826920257805574,1.0,0.9948681754750693,0.9997969723211714,0.918728007931002,0.9758129888233754,0.983607773272687
Т4.5.2,0.7852245610184134,0.856693381454594,0.8274174619050974,0.9082589517834238,0.7455585301678982,0.8351875175939395,0.8130300705006238,0.7090580501169118,0.7706775546440751,0.7604970990398109,0.7587388389713468,0.7825592431904317,0.8451553326163427,0.8696069386707346,0.6902466174201367,0.7446776071665869,0.856693381454594,0.7506534709944586,0.7245671451107284,0.9296009300419776,0.7371743883387913,0.7371743883387913,0.6891766178032729,0.7252536324217881,0.7129376896056724,0.6262014832225818,0.69343636772366,0.5296737464171534,0.9721267967428604,0.8065514339348684,0.9998620074208348,0.9962643261911274,0.9948681754750693,1.0,0.9926385150555164,0.8816216040064169,0.9928152743121049,0.9632815849512062
Т4.5.3,0.7483897188572906,0.8254184215819442,0.814879899554499,0.9430717480790934,0.728752981659602,0.8700639478075293,0.7801711313537669,0.6872505225775482,0.7313029891408938,0.7222571201155864,0.7204179903934598,0.7421222016873529,0.8199383828823443,0.831042495521943,0.6726361982804302,0.7058345307375264,0.8254184215819442,0.7109492828386669,0.6784800643285023,0.9079899791883229,0.7036935874568838,0.7036935874568838,0.6424406227481173,0.6800128631234471,0.6462526296431932,0.5784253398293153,0.6554824608861005,0.46038821862055995,0.9930584658696986,0.8657625356890638,0.9939889242937825,0.9788467115384665,0.9997969723211714,0.9926385150555164,1.0,0.9254152927303336,0.9713006737699722,0.9866019127287519
Т4.6.1,0.5761139029247475,0.6537810417661256,0.6704637171966639,0.953344904026558,0.6343215992931852,0.8771905864347737,0.6148579694209079,0.5760955707292623,0.5715828508390088,0.5677066069114369,0.5657261438761655,0.576550553140884,0.720881480389243,0.619546091075535,0.5835971103112957,0.5532516499786406,0.6537810417661256,0.5549837939035238,0.5142917278709159,0.7218471778657607,0.5658240375689942,0.5658240375689942,0.4805269310762568,0.5175785287389875,0.43516047632365723,0.43189937769861586,0.5049479610481473,0.3879379520264997,0.9610595461150987,0.9804051797052672,0.8884967508044278,0.8489003173228915,0.918728007931002,0.8816216040064169,0.9254152927303336,1.0,0.8314604482628243,0.9738398256861612
