ЦУР,2016,2017,2018,2019,2020,2021,2022,AgglomerativeClustering,KMeans
3.5.2,7.73,6.14,6.21,6.26,5.68,5.68,5.68,3,3
3.6.1,16.8083,14.1326,13.1832,10.5293,10.2,10.6169,10.3388,3,3
3.7.1 (возраст 25-29 лет),82.7,78.4,80.2,84.0,80.1,80.1,80.1,0,2
3.7.1 (возраст 30-34 лет),67.1,62.7,60.7,61.0,54.2,54.2,54.2,3,3
3.7.1 (возраст 35-39 лет),33.1,31.7,31.9,33.4,29.9,29.9,29.9,3,3
3.c.1,89.5,88.5,88.2,88.2,87.6,85.4,85.4,0,3
Т3.2.1,35.4,39.7,42.2,47.2,26.2,29.8,44.4,0,1
Т3.2.2,34.9,39.2,44.8,48.7,49.6,52.4,52.4,1,4
Т3.2.3,58.0,58.0,58.0,58.0,57.1,57.0,59.0,0,2
Т3.2.4,72.2,73.0,73.2,73.7,72.0,69.8,72.01,0,3
Т3.2.5,12.2,12.2,12.2,12.2,7.5,23.7,9.7,4,2
Т3.3.1,37.4,37.5,37.5,37.1,38.7,39.1,39.1,1,4
Т3.4.5,89.5,88.5,88.2,88.2,87.6,85.4,85.4,0,3
Т3.5.1,37.4,37.5,37.5,37.1,38.7,39.1,39.1,1,4
Т3.5.2,89.5,88.5,88.2,88.2,87.6,85.4,85.4,0,3
Т3.6.1,36.8,49.6,39.9,45.0,22.9,14.5,23.4,0,3
Т3.6.2,39.9,40.5,35.0,30.9,25.3,25.2,28.4,3,3
Т3.6.3,1.0,0.0,7.0,1.0,1.0,5.0,2.0,2,1
Т3.6.4,2.15,2.08,1.49,1.07,1.0,1.3,1.7,3,2
Т3.6.5,116.0,143.0,88.0,77.0,33.0,64.0,109.0,3,3
Т3.6.6,9.0,9.0,18.0,15.0,5.0,6.0,5.0,0,3
Т3.6.7,6.0,1.0,4.0,10.0,5.5,1.0,4.0,0,1
Т3.6.8,600.0,423.0,356.0,280.0,174.0,103.0,125.0,3,3
Т3.6.9,23.2,24.5,24.5,31.1,21.2,23.2,23.9,0,1
Т3.6.10,9.3,9.7,10.6,8.9,7.4,7.9,7.7,0,3
Т3.6.11,37.2,30.7,29.7,29.9,23.2,30.1,25.2,3,3
Т3.7.1,184.5,177.9,184.1,188.3,188.9,188.1,188.1,1,4
Т3.7.2,639.8,620.0,621.9,610.0,675.0,711.7,711.7,1,4
Т3.7.3,15.9,12.7,10.9,10.4,8.7,9.7,9.7,3,3
Т3.7.4,2.1,1.5,1.3,1.2,1.0,1.1,1.1,3,3
Т3.8.1,10.7,11.6,10.9,11.5,11.4,10.8,10.8,0,0
Т3.8.2,39.8,33.3,32.2,34.1,60.3,96.6,96.6,1,4
Т3.8.3,6.9,3.7,3.7,3.3,2.9,4.6,4.6,3,2
Т3.8.4,7.73,7.73,7.73,6.14,6.21,6.26,6.26,3,3
Т3.9.1,7.8,7.7,6.5,5.7,6.5,7.8,7.8,4,2
Т3.9.2,1.88,1.49,1.46,2.15,1.78,2.59,2.59,1,4
Т3.10.1,489.5,448.2,444.5,428.7,493.0,579.9,579.9,1,4
Т3.10.2,8.2,4.6,7.3,13.3,2.7,27.9,27.9,1,4
Т3.10.3,7.8,7.7,6.5,5.7,6.5,7.8,7.8,4,2
Т3.10.4,6.6,6.5,5.1,4.8,5.5,6.5,6.5,4,2
Т3.10.5 (в возрасте 10-14 лет),0.2,0.2,0.1,0.1,0.2,0.1,0.1,0,0
Т.3.10.6 (в возрасте 15-19 лет),23.1,19.1,16.8,15.7,15.3,14.6,14.6,3,3
Т3.11.1,4.4,3.3,3.5,3.7,4.1,5.1,5.1,1,4
Т3.12.1,30.09,29.82,28.81,29.49,35.2,30.98,30.98,2,0
Т3.12.2,0.57,0.82,0.63,0.56,0.27,0.14,0.14,0,3
Т3.12.3,1.82,2.83,1.78,3.68,1.39,1.55,1.55,0,3
Т3.13.1,16.8,14.2,13.2,10.5,10.23,10.6,10.3,3,3
Т3.13.2,6108.0,5838.0,4860.0,3861.0,28423.0,2695.0,2991.0,2,0
Т3.13.3,4979.0,4626.0,3925.0,3065.0,23513.0,2281.0,2492.0,2,0
Т3.13.4,258.0,317.0,244.0,192.0,1803.0,118.0,124.0,2,0
