ЦУР,1.5.1 Погибшие,1.а.2 Здравоохранение,Т.1.2.2 здравоохранение,Т.1.4.3,"10.7.1 (""Численность лиц, получивших временное убежище"")",11.5.1 погибшие,12.1.1 (%),13.1.1 погибшие,Т 16.5 (Количество преступлений экономической направленности),Т 17.4 (Индекс физического объема валового регионального продукта на душу населения),2.a.1,2.b.1,Т2.2.3,Т2.5.2,Т2.8.1,3.2.1,3.2.2,3.4.2,3.7.1 (возраст 25-29 лет),Т3.2.3,Т3.2.5,Т3.6.4,Т3.8.3,Т3.9.1,Т3.10.3,Т3.10.4,4.2.1 (I группа здоровья),4.4.1.b,8.1.1,Т 9.2.2 (железнодорожным),Т 9.3.3,Т 9.3.4,Т 9.3.10,Т 9.3.11,Т 9.3.16
Т3.2.5,0.674436551524996,0.2613145636345799,0.2613145636345799,0.5954692854570236,0.8429035887274882,0.674436551524996,0.9995329360874605,0.674436551524996,0.8474092713547808,0.8817452105319648,0.770756826168177,0.6241646345247612,0.770756826168177,0.821881604467497,0.637264601604131,0.8545236149634529,0.9248634245636562,0.7320895465236719,0.14790749718261434,0.02958402463696069,1.0,0.6207859035818939,0.7183254164381083,0.7989646067956505,0.7989646067956505,0.787328543347722,0.7485375384431567,0.012227113804209577,0.9479654918564471,0.7000848970587226,0.8556071236648314,0.7733186729636677,0.8582662848539427,0.7019130485187369,0.8008268960752969
Т3.6.4,0.8086359409790816,0.10318152555105257,0.10318152555105257,0.8543638748487025,0.8364696776551633,0.8086359409790816,0.6322619370484593,0.8086359409790816,0.762524700754556,0.7596494942817092,0.8309436571246205,0.8695397682226595,0.8309436571246205,0.615355428144206,0.9289926755280611,0.8562025683507637,0.48697341087800244,0.8633404556821901,0.09678145026820678,0.46409224595531634,0.6207859035818939,1.0,0.8708167950691085,0.8881195994136907,0.8881195994136907,0.8808267701489638,0.6703802156990658,0.2847752032912159,0.7655956929380777,0.8889054597576789,0.6562058062056464,0.8840272851045299,0.7274551589286719,0.9025848819048293,0.7555275989032556
Т3.8.3,0.9832740405445534,0.4230751238310104,0.4230751238310104,0.9380188108766658,0.9080942673971061,0.9832740405445534,0.7257265952758888,0.9832740405445534,0.8641918503466811,0.8049472582434842,0.8905684282298841,0.8318276213954259,0.8905684282298841,0.7846819432159446,0.7933139696640645,0.8403524864922252,0.6909361155115035,0.9935129237460505,0.3554802389821581,0.3316895474944538,0.7183254164381083,0.8708167950691085,1.0,0.8646828181883457,0.8646828181883457,0.8633935894669795,0.7255799644067273,0.5197964299318065,0.822008291310833,0.9499218088416412,0.7254318004239569,0.8483087668371646,0.8546630194770439,0.9146490743442192,0.8017709059763102
Т3.9.1,0.7910453577619753,0.10726109616382003,0.10726109616382003,0.7496757930851212,0.9670475041202874,0.7910453577619753,0.8029754388832423,0.7910453577619753,0.9298792629935207,0.8857731031869192,0.8859064510760072,0.7751794463820707,0.8859064510760072,0.6927738064908432,0.8664997272361847,0.9339899679856543,0.7022537723431508,0.8431014847220302,0.047730514599869704,0.24240819985734688,0.7989646067956505,0.8881195994136907,0.8646828181883457,1.0,1.0,0.9949054675057923,0.8120664513016556,0.1181576198903159,0.8701996405743142,0.7733547834096398,0.7262459908924621,0.803843966506327,0.909361442541201,0.9295728640913411,0.9522420171888141
Т3.10.3,0.7910453577619753,0.10726109616382003,0.10726109616382003,0.7496757930851212,0.9670475041202874,0.7910453577619753,0.8029754388832423,0.7910453577619753,0.9298792629935207,0.8857731031869192,0.8859064510760072,0.7751794463820707,0.8859064510760072,0.6927738064908432,0.8664997272361847,0.9339899679856543,0.7022537723431508,0.8431014847220302,0.047730514599869704,0.24240819985734688,0.7989646067956505,0.8881195994136907,0.8646828181883457,1.0,1.0,0.9949054675057923,0.8120664513016556,0.1181576198903159,0.8701996405743142,0.7733547834096398,0.7262459908924621,0.803843966506327,0.909361442541201,0.9295728640913411,0.9522420171888141
Т3.10.4,0.7959043284927715,0.0975846693009788,0.0975846693009788,0.7650195911086535,0.9600188584254977,0.7959043284927715,0.790375157313581,0.7959043284927715,0.920132841475697,0.8668765715799869,0.913403796491338,0.7291297048869124,0.913403796491338,0.6710443171860565,0.8288933652310422,0.9333345582541585,0.7191857430539886,0.8433402849875129,0.01925213762429412,0.22698468972037167,0.787328543347722,0.8808267701489638,0.8633935894669795,0.9949054675057923,0.9949054675057923,1.0,0.8543789565856102,0.14324922539775328,0.8519131471078196,0.7707741585866376,0.7096692420128267,0.7978482028427387,0.896566708047048,0.9447168694061362,0.9330232750386316
4.2.1 (I группа здоровья),0.7056698297089828,0.03480117978289984,0.03480117978289984,0.6897673899205803,0.8368167676925017,0.7056698297089828,0.7492475877340218,0.7056698297089828,0.8371954222653283,0.7975919892242122,0.9452957534418513,0.4643952764690122,0.9452957534418513,0.6927471508929356,0.5672250690610707,0.7508335083433488,0.8475697410827164,0.7055686948621527,0.24841234986262664,0.20039986566922421,0.7485375384431567,0.6703802156990658,0.7255799644067273,0.8120664513016556,0.8120664513016556,0.8543789565856102,1.0,0.2521163816404989,0.7695896668228264,0.6758635189817043,0.7554032237180277,0.7342423960199933,0.8180132215768591,0.8090775745100561,0.7434299706696744
4.4.1.b,0.6094404087441686,0.6611460472340356,0.6611460472340356,0.5994070361616688,0.22560627460968394,0.6094404087441686,0.01749264251198248,0.6094404087441686,0.22158777461483314,0.13450742342046967,0.35404684217822524,0.32541171412926345,0.35404684217822524,0.3530082570782859,0.17772160576128215,0.07892275979655078,0.19676493523834412,0.5114925325543294,0.8662440753097381,0.5438612140236395,0.012227113804209577,0.2847752032912159,0.5197964299318065,0.1181576198903159,0.1181576198903159,0.14324922539775328,0.2521163816404989,1.0,0.10971424237825463,0.5138918465368179,0.2053311777126159,0.2956172927047764,0.2264441278015297,0.31623451695633714,0.09699747266248183
8.1.1,0.7553297809853292,0.16163605273084727,0.16163605273084727,0.6750317663925554,0.9293489253781045,0.7553297809853292,0.9563946043022359,0.7553297809853292,0.9281137749351521,0.9723585615794121,0.8529332221208484,0.7627711948792639,0.8529332221208484,0.8857687061999974,0.7990846439895579,0.8480418110677699,0.8421436797642792,0.8129174159060404,0.16530000524687663,0.21918427222126993,0.9479654918564471,0.7655956929380777,0.822008291310833,0.8701996405743142,0.8701996405743142,0.8519131471078196,0.7695896668228264,0.10971424237825463,1.0,0.8190253926278512,0.9337631576213153,0.9070371628646722,0.9268787930087238,0.7553629765160573,0.8378982851580463
Т 9.2.2 (железнодорожным),0.9381681329418707,0.3537672065579663,0.3537672065579663,0.9441550825007906,0.8207980937578384,0.9381681329418707,0.7117512827175697,0.9381681329418707,0.7689236204828699,0.7726369641418603,0.8624477855923389,0.8480514728341153,0.8624477855923389,0.7937420872110573,0.7967952941687583,0.7933285065633358,0.6492309168593239,0.9585379367130924,0.44153029690944845,0.3908931346098923,0.7000848970587226,0.8889054597576789,0.9499218088416412,0.7733547834096398,0.7733547834096398,0.7707741585866376,0.6758635189817043,0.5138918465368179,0.8190253926278512,1.0,0.7685233337678032,0.926324972766771,0.7551688639596322,0.8479889747552716,0.6613721817286564
Т 9.3.3,0.6870814645542477,0.0999149317184517,0.0999149317184517,0.6063891589721111,0.835381326681136,0.6870814645542477,0.867454528723175,0.6870814645542477,0.8729959338452783,0.946692347085434,0.8017584191752266,0.7249530341321847,0.8017584191752266,0.9572065217973058,0.7371591030150753,0.6552558741459074,0.8174869027789486,0.7019716553831021,0.3213430680301078,0.3628523865724973,0.8556071236648314,0.6562058062056464,0.7254318004239569,0.7262459908924621,0.7262459908924621,0.7096692420128267,0.7554032237180277,0.2053311777126159,0.9337631576213153,0.7685233337678032,1.0,0.8715807507814634,0.8789621973903742,0.6140379341380903,0.7224918130742266
Т 9.3.4,0.7852437220864087,0.09753984774660725,0.09753984774660725,0.7841416739710642,0.8478245777665288,0.7852437220864087,0.7890148811950958,0.7852437220864087,0.812416840388786,0.8775863479018073,0.8769246301556879,0.7935594443091256,0.8769246301556879,0.7957343139080285,0.8400188078002129,0.782248098029475,0.6675693138430977,0.8424940956958282,0.31154719420322347,0.4585376766948219,0.7733186729636677,0.8840272851045299,0.8483087668371646,0.803843966506327,0.803843966506327,0.7978482028427387,0.7342423960199933,0.2956172927047764,0.9070371628646722,0.926324972766771,0.8715807507814634,1.0,0.789745156764347,0.7671639306861053,0.6711708560318781
Т 9.3.10,0.8039542457865257,0.2092047755465218,0.2092047755465218,0.6805465689588823,0.9777235883103771,0.8039542457865257,0.8640121630060537,0.8039542457865257,0.9971523501929735,0.9664981043600148,0.8691121692702579,0.7510089432208913,0.8691121692702579,0.8859998379314248,0.7860117161909878,0.7978092656681708,0.8262827137053607,0.8175881182668394,0.151130382165557,0.27512672050632453,0.8582662848539427,0.7274551589286719,0.8546630194770439,0.909361442541201,0.909361442541201,0.896566708047048,0.8180132215768591,0.2264441278015297,0.9268787930087238,0.7551688639596322,0.8789621973903742,0.789745156764347,1.0,0.7966572490830338,0.939268768431459
Т 9.3.11,0.893151568853759,0.25068104495854254,0.25068104495854254,0.9105740168148767,0.8847437644459815,0.893151568853759,0.7026751389708273,0.893151568853759,0.8196909626489004,0.7395046509086491,0.903647662096253,0.7483065462893074,0.903647662096253,0.6321501222897382,0.7755740138696311,0.932176804631825,0.6794074059372281,0.9166541734159517,0.1197953425356746,0.1829553557513892,0.7019130485187369,0.9025848819048293,0.9146490743442192,0.9295728640913411,0.9295728640913411,0.9447168694061362,0.8090775745100561,0.31623451695633714,0.7553629765160573,0.8479889747552716,0.6140379341380903,0.7671639306861053,0.7966572490830338,1.0,0.8434271883070988
Т 9.3.16,0.7438818137428539,0.20293143247803644,0.20293143247803644,0.6478039088170092,0.9423827410459391,0.7438818137428539,0.8011465372678441,0.7438818137428539,0.9403562638847356,0.8786611700863912,0.7822418159205284,0.7659997451278434,0.7822418159205284,0.7389131364337349,0.8182414780833247,0.8591448332379238,0.7237703571815476,0.7705000813440952,0.07017980639126871,0.18937034061794,0.8008268960752969,0.7555275989032556,0.8017709059763102,0.9522420171888141,0.9522420171888141,0.9330232750386316,0.7434299706696744,0.09699747266248183,0.8378982851580463,0.6613721817286564,0.7224918130742266,0.6711708560318781,0.939268768431459,0.8434271883070988,1.0
