ЦУР,1.а.2 Социальная политика,Т.1.2.1 образование,Т.1.2.3 социальная политика,Т.1.3.1,10.2.1 (децильный коэффициент),10.2.2 ( коэффициент фондов),10.2.3 (Индекс концентрации доходов (коэффициент Джини)),"10.3.1 (Численность отдельных категорий специалистов, имеющих право на меры социальной поддержки, человек)",11.3.1,Т 11.2.5 (Соотношение темпа ввода в действие жилых домов к темпу роста населения),Т 14.2 (тонн),15.3.1 (га),15.9.1 (Ввод молодняков в категорию хозяйственно-ценных лесных насаждений),15.9.1 (Площадь лесовосстановления),Т 15.2.2 (Индекс физического объема природоохранных расходов),Т 16.6 (Доля потерпевших от преступных посягательств),Т2.3.1,Т2.3.3,Т2.3.5,Т2.4.3,Т2.5.1,Т2.5.6,Т2.6.3,Т2.6.5,Т2.6.6,3.3.3,Т3.2.1,Т3.6.3,Т3.6.7,Т3.6.9,4.3.1,Т 8.10.1,Т 9.2.1 (железнодорожным),Т 9.3.5,Т 9.3.8,Т 9.3.14,Т 9.6 (ВДС обрабатывающих производств в пересчете на душу населения),9.а.2 (Изьято в млн дол США),9.а.3 (Поступило в млн дол США)
Т2.5.1,0.8631000177767024,0.6330641965186959,0.8631000177767024,0.7278721033519677,0.4703586448266044,0.5020530608908971,0.48621736742273564,0.8894155934456832,0.5295926081286528,0.5295926081286528,0.783218732982904,0.30101565192506885,0.14696847520547246,0.508491976705471,0.871631601159399,0.8421212610793528,0.5758300184725693,0.8808755415981663,0.8690741610335455,0.9397119562963737,1.0,0.7306048212133366,0.692195616965127,0.8443964378231442,0.8798314532449251,0.65513790482478,0.18878476075382755,0.65513790482478,0.20131256981869988,0.26275781654953406,0.7290477539579786,0.5579869086884233,0.9295972176913984,0.8346408424318505,0.5648907153162885,0.40606712034287407,0.835531475347702,0.6429486320163265,0.8784545490596549
Т2.5.6,0.7170709271520741,0.37727822361226687,0.7170709271520741,0.9121063762448053,0.3746660672822146,0.3917867179375073,0.3601212578825595,0.8212213065587312,0.6217082751063783,0.6217082751063783,0.799563842954338,0.43678568169380916,0.3176323872797137,0.7566317735569726,0.8798434783995224,0.8822269837342653,0.9353105452248591,0.8156068248621551,0.8392254186057837,0.7319957900554325,0.7306048212133366,1.0,0.8558853598984258,0.6823091853519031,0.8010111684229135,0.6006206335317454,0.4474448141705059,0.6006206335317454,0.07303812516670322,0.4879486805303733,0.7746495426549822,0.5748118542370085,0.8504799804888586,0.8098280206992123,0.733586813360508,0.5318156569314366,0.8980128629120034,0.9473229700642416,0.8067646756736593
Т2.6.3,0.7572324434127831,0.31351261821451015,0.7572324434127831,0.671118011907212,0.11006171624061996,0.13465278881552706,0.0937868243728523,0.7506487718489387,0.6095255772624698,0.6095255772624698,0.8920840281588668,0.3532729149961884,0.21239400969373015,0.793606846558897,0.8102940336381856,0.8315654356239847,0.7999284115485727,0.6825068797471491,0.8303827635758848,0.6512564743922659,0.692195616965127,0.8558853598984258,1.0,0.580168927452425,0.7781531677582222,0.41069984850783864,0.4687306196535802,0.41069984850783864,0.1654868604398542,0.35720093183678614,0.8578735313152547,0.5836299305055711,0.724021037091304,0.7364024472321556,0.673837628913131,0.5164979447734922,0.862472865460297,0.840142679456651,0.8058225249869146
Т2.6.5,0.619715181118726,0.5158107766251424,0.619715181118726,0.6554727180786544,0.34391495630480684,0.4201825894830905,0.41410283972317535,0.6726234365986986,0.4932672617034556,0.4932672617034556,0.7935466323201473,0.36736014282828394,0.2622371863995734,0.6745498251661588,0.6696542168403351,0.7794450910332673,0.6930328642138405,0.5931465315330293,0.7409547399096054,0.7209526511704409,0.8443964378231442,0.6823091853519031,0.580168927452425,1.0,0.9124589732227413,0.6638762405718279,0.024247219574100653,0.6638762405718279,0.3625231610354341,0.25746704334556836,0.8002607219114748,0.8068595336020128,0.7041721880949166,0.5891936601485803,0.4974231080560164,0.6634046754571095,0.7652367416365273,0.6275964133244277,0.9189111784792227
Т2.6.6,0.6697091067793116,0.5970977042843989,0.6697091067793116,0.6627159986006839,0.32443804138249394,0.3873480537367967,0.3644595977952474,0.7082120383233033,0.5978922348049206,0.5978922348049206,0.8143589617529576,0.4826092583570145,0.3579318777692627,0.7445504072162382,0.731817630614349,0.8232970869837329,0.7932461388203111,0.6856932830302739,0.7617671953972778,0.7689606704937804,0.8798314532449251,0.8010111684229135,0.7781531677582222,0.9124589732227413,1.0,0.6187752592105287,0.32929913418053597,0.6187752592105287,0.4707186335114942,0.44094197328674406,0.8086854849823766,0.7654493109611642,0.8065576952048459,0.6389583593800319,0.6618989166372778,0.6704464805746537,0.818600189024302,0.7049699191969041,0.9416213284957979
3.3.3,0.6364372683744043,0.29535847425909384,0.6364372683744043,0.7774115589700583,0.4667220641140057,0.4366631866306834,0.424382205569017,0.5227292363725098,0.014831087734989298,0.014831087734989298,0.46120474032329817,0.1375115826565298,0.24646600489905846,0.16060738700807894,0.5569716128165376,0.41872504008467143,0.6109839074288572,0.5647784686913827,0.5524062588942048,0.4495944493442264,0.65513790482478,0.6006206335317454,0.41069984850783864,0.6638762405718279,0.6187752592105287,1.0,0.06320692413155723,1.0,0.1466925397699861,0.02133033667593228,0.359316891312202,0.159992243490392,0.709570816871938,0.47092246991257064,0.31439350572859165,0.003671296159714143,0.7644478044463437,0.4144602737803547,0.7445333969703225
Т3.2.1,0.08031483638879891,0.5217850168773993,0.08031483638879891,0.2374468091721663,0.3928580008122084,0.3734828466355577,0.33902534247333005,0.16677963940824508,0.5198599278979805,0.5198599278979805,0.11590474169512942,0.6010516982299582,0.5523339208985056,0.2832475077015184,0.2294546436820097,0.20192278175326261,0.39691335094280533,0.3556866750009567,0.08348907812848447,0.23604617212478896,0.18878476075382755,0.4474448141705059,0.4687306196535802,0.024247219574100653,0.32929913418053597,0.06320692413155723,1.0,0.06320692413155717,0.4331218070304867,0.7870466553593619,0.10093317001049336,0.06982667173213529,0.40030634826499156,0.18481302314829964,0.7045004943013042,0.18947058660587512,0.19006621602649187,0.2956035146711606,0.12954455014911903
Т3.6.3,0.6364372683744043,0.29535847425909384,0.6364372683744043,0.7774115589700583,0.4667220641140057,0.4366631866306834,0.424382205569017,0.5227292363725098,0.014831087734989298,0.014831087734989298,0.46120474032329817,0.1375115826565298,0.24646600489905846,0.16060738700807894,0.5569716128165376,0.41872504008467143,0.6109839074288572,0.5647784686913827,0.5524062588942048,0.4495944493442264,0.65513790482478,0.6006206335317454,0.41069984850783864,0.6638762405718279,0.6187752592105287,1.0,0.06320692413155717,1.0,0.1466925397699861,0.02133033667593228,0.359316891312202,0.159992243490392,0.709570816871938,0.47092246991257064,0.31439350572859165,0.003671296159714143,0.7644478044463437,0.4144602737803547,0.7445333969703225
Т3.6.7,0.19930913038024758,0.5953240006196193,0.19930913038024758,0.20454056967201512,0.13880451219550619,0.23518676272164193,0.23412092203584978,0.08149204359826127,0.5397469356674862,0.5397469356674862,0.15206081713339284,0.7571832330921784,0.7749327475522295,0.4512787498827785,0.09026151664849824,0.15910854728660034,0.17183775388601094,0.04419951307446294,0.06817632849437637,0.17432577766673146,0.20131256981869988,0.07303812516670322,0.1654868604398542,0.3625231610354341,0.4707186335114942,0.1466925397699861,0.4331218070304867,0.1466925397699861,1.0,0.6586599969881384,0.2535672922587959,0.6129351980968565,0.055496936875590916,0.14084045577391222,0.4242597461545005,0.686721461785222,0.07800942053851,0.022976611386973024,0.2063481496540345
Т3.6.9,0.05460836543212331,0.722328526037315,0.05460836543212331,0.2809493153717219,0.5752628827546636,0.6246965002140018,0.6074575239324735,0.21940755346562085,0.8270427718764298,0.8270427718764298,0.23514775917569225,0.9469505721774515,0.915311166548919,0.5162410800349626,0.24917659449370766,0.36929045692751766,0.44557479945525286,0.353944526588611,0.12721146081437115,0.3657722775703622,0.26275781654953406,0.4879486805303733,0.35720093183678614,0.25746704334556836,0.44094197328674406,0.02133033667593228,0.7870466553593619,0.02133033667593228,0.6586599969881384,1.0,0.2953172087757661,0.4637822845885872,0.3855281719688138,0.2056782261611765,0.8415331808507766,0.5729790694287973,0.14067842863918464,0.3927105199935823,0.18553314228671386
